On,IN,1
a,DAT,1
chilly,JJ,1
grey,JJ,1
afternoon,NN,1
where,PWS,1
the,DAT,1
horizon,NN,1
blurred,VVD,1
with,IN,1
the,DAT,1
marshy,JJ,1
lands,NNS,1
of,IN,1
Kent,NP,1
there,RB,1
stood,VVD,1
amidst,IN,1
the,DAT,1
solitary,JJ,1
stretch,NN,1
of,IN,1
the,DAT,1
graveyard,NN,1
a,DAT,1
young,JJ,1
boy,NN,1
named,VVN,1
Philip,NP,1
Pirrip,NP,1
Commonly,RB,1
referred,VVN,1
to,TO,1
as,IN,1
Pip,NP,1
a,DAT,1
convenient,JJ,1
abbreviation,NN,1
of,IN,1
his,PP$,1
name,NN,1
this,DT,1
child,NN,1
with,IN,1
eyes,NNS,1
full,JJ,1
of,IN,1
innocent,JJ,1
wonder,NN,1
was,VBD,1
engaged,VVN,1
in,IN,1
the,DAT,1
melancholic,JJ,1
act,NN,1
of,IN,1
observing,VVG,1
the,DAT,1
gravestones,NNS,1
of,IN,1
his,PP$,1
parents,NNS,1
and,CO,1
siblings,NNS,1
all,DT,1
of,IN,1
whom,PWH,1
had,VHD,1
departed,VVD,1
this,DT,1
world,NN,1
Pip,NP,1
with,IN,1
his,PP$,1
youthful,JJ,1
imagination,NN,1
and,CO,1
having,VHG,1
never,RB,1
beheld,VVN,1
the,DAT,1
visages,NNS,1
of,IN,1
his,PP$,1
parents,NNS,1
had,VHD,1
conjured,VVN,1
their,PP$,1
possible,JJ,1
appearances,NNS,1
from,IN,1
the,DAT,1
designs,NNS,1
of,IN,1
their,PP$,1
respective,JJ,1
tombstones,NNS,1
From,IN,1
these,DT,1
cold,JJ,1
unyielding,JJ,1
stones,NNS,1
he,PP,1
had,VHD,1
fashioned,VVN,1
a,DAT,1
softer,JJR,1
rounder,JJR,1
version,NN,1
of,IN,1
his,PP$,1
father,NN,1
and,CO,1
a,DAT,1
worn,VVN,1
down,QQ,1
care,VV,1
riddled,VVN,1
depiction,NN,1
of,IN,1
his,PP$,1
mother,NN,1
To,TO,1
him,PP,1
these,DT,1
stones,NNS,1
held,VVD,1
